height,weight,chest_circ,tshirt_size,color
1729,729,93.5,Small,red
1501,618,93.2,Small,red
1657,618,88.3,Extra Small,yellow
1614,546,81.3,2X-Small,pink
1660,686,95.4,Medium,blue
1675,641,88.4,Extra Small,yellow
1638,635,86.5,Extra Small,yellow
1584,634,86.9,Extra Small,yellow
1680,684,92.7,Small,red
1667,680,89.6,Extra Small,yellow
1758,751,94.6,Small,red
1688,851,95.0,Medium,blue
1636,582,89.5,Extra Small,yellow
1607,709,91.0,Small,red
1594,664,87.6,Extra Small,yellow
1694,757,96.2,Medium,blue
1606,632,91.0,Small,red
1687,674,86.3,Extra Small,yellow
1574,602,89.6,Extra Small,yellow
1603,616,89.8,Extra Small,yellow
1559,584,92.1,Small,red
1659,717,91.4,Small,red
1614,606,92.0,Small,red
1630,648,86.9,Extra Small,yellow
1435,478,86.0,Extra Small,yellow
1672,751,95.1,Medium,blue
1708,739,93.6,Small,red
1676,686,101.7,Medium,blue
1609,620,84.4,Extra Small,yellow
1590,740,100.0,Medium,blue
1629,598,83.2,2X-Small,pink
1598,645,88.8,Extra Small,yellow
1560,563,89.5,Extra Small,yellow
1688,686,91.9,Small,red
1745,696,90.6,Small,red
1673,631,86.5,Extra Small,yellow
1662,729,95.0,Medium,blue
1576,548,90.6,Small,red
1720,650,90.8,Small,red
1701,700,90.6,Small,red
1620,580,81.5,2X-Small,pink
1670,738,95.2,Medium,blue
1630,478,77.5,2X-Small,pink
1636,583,81.5,2X-Small,pink
1714,849,95.6,Medium,blue
1702,732,92.7,Small,red
1590,609,85.5,Extra Small,yellow
1643,654,90.0,Small,red
1769,832,94.6,Small,red
1549,591,88.2,Extra Small,yellow
1533,695,97.3,Medium,blue
1592,609,84.8,Extra Small,yellow
1609,650,90.3,Small,red
1569,550,81.5,2X-Small,pink
1586,659,88.3,Extra Small,yellow
1574,701,90.2,Small,red
1617,689,93.0,Small,red
1589,607,86.6,Extra Small,yellow
1679,736,93.1,Small,red
1700,564,82.6,2X-Small,pink
1623,566,84.7,Extra Small,yellow
1677,681,85.7,Extra Small,yellow
1598,660,92.0,Small,red
1625,536,78.4,2X-Small,pink
1685,647,84.0,Extra Small,yellow
1685,776,102.5,Large,lawngreen
1623,563,79.4,2X-Small,pink
1674,675,94.5,Small,red
1653,604,89.0,Extra Small,yellow
1587,542,95.7,Medium,blue
1595,664,100.8,Medium,blue
1563,744,99.8,Medium,blue
1674,621,90.9,Small,red
1439,585,98.2,Medium,blue
1718,810,101.8,Medium,blue
1589,511,79.6,2X-Small,pink
1645,717,111.2,Large,lawngreen
1677,607,91.3,Small,red
1552,591,88.4,Extra Small,yellow
1523,636,107.3,Large,lawngreen
1612,715,101.2,Medium,blue
1642,574,91.7,Small,red
1732,716,97.9,Medium,blue
1600,540,87.7,Extra Small,yellow
1409,426,82.4,2X-Small,pink
1620,585,88.9,Extra Small,yellow
1746,828,96.0,Medium,blue
1688,740,98.3,Medium,blue
1606,765,97.6,Medium,blue
1658,852,102.9,Large,lawngreen
1590,671,91.5,Small,red
1781,760,92.2,Small,red
1690,695,99.2,Medium,blue
1654,754,101.5,Medium,blue
1583,663,94.5,Small,red
1523,480,84.3,Extra Small,yellow
1685,830,109.6,Large,lawngreen
1672,756,97.4,Medium,blue
